❯ python main.py --model network2 --dataset mnist --batch_size 128 --websockets --verbose
Launching the websocket workers...
LAUNCHED 38014 38017 38022
Running inference speed test
model:           network2
dataset:         mnist
batch_size:      128
         145454 function calls (138303 primitive calls) in 12.374 seconds

   Ordered by: internal time
   List reduced from 614 to 61 due to restriction <0.1>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      234    0.001    0.000    0.001    0.000 /home/pierre/.miniconda/envs/ariann/lib/python3.8/site-packages/msgpack_numpy.py:187(__init__)
  464/428    0.001    0.000    0.039    0.000 /home/pierre/Documents/AriaNN/PySyft/syft/serde/msgpack/native_serde.py:22(_simplify_collection)
      291    0.001    0.000    0.001    0.000 /home/pierre/.miniconda/envs/ariann/lib/python3.8/os.py:670(__getitem__)
       23    0.001    0.000    7.408    0.322 /home/pierre/Documents/AriaNN/PySyft/syft/frameworks/torch/mpc/primitives.py:146(provide_primitives)
      280    0.001    0.000    0.009    0.000 /home/pierre/Documents/AriaNN/PySyft/syft/serde/msgpack/serde.py:350(_deserialize_msgpack_binary)
      124    0.001    0.000    0.029    0.000 /home/pierre/Documents/AriaNN/PySyft/syft/serde/msgpack/torch_serde.py:106(_simplify_torch_tensor)



Total time (s):  0.0951
Accuracy: 7.0
Process 38014 killed
Process 38017 killed
Process 38022 killed
